epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1048.57,3.19547,4.33768,3.21243,0.41033,0.39467,0.33332,0.13053,3.64094,4.2561,3.48222,0.0007724,0.0007724,0.0007724
64,1064.7,3.18287,4.42173,3.19681,0.46658,0.4,0.37312,0.1601,3.48678,4.18841,3.36561,0.0007526,0.0007526,0.0007526
65,1080.71,3.14673,4.31333,3.1978,0.42911,0.43733,0.37415,0.15661,3.46251,4.08926,3.35873,0.0007328,0.0007328,0.0007328
66,1096.93,3.15134,4.39877,3.17523,0.4519,0.45333,0.38866,0.1631,3.4663,4.03495,3.38644,0.000713,0.000713,0.000713
67,1112.94,3.13542,4.26753,3.14078,0.45926,0.39636,0.36811,0.15173,3.52864,4.184,3.4497,0.0006932,0.0006932,0.0006932
68,1128.95,3.03827,4.29207,3.11142,0.4534,0.424,0.38353,0.16049,3.42925,4.09185,3.34192,0.0006734,0.0006734,0.0006734
69,1144.34,3.11779,4.27023,3.18597,0.49693,0.41333,0.37994,0.1563,3.57623,4.08772,3.47036,0.0006536,0.0006536,0.0006536
70,1159.82,3.08716,4.23042,3.15276,0.46427,0.45867,0.4029,0.17097,3.45091,3.97461,3.34767,0.0006338,0.0006338,0.0006338
71,1175.48,3.12294,4.2488,3.14267,0.45384,0.44533,0.38314,0.15823,3.50329,4.07853,3.3512,0.000614,0.000614,0.000614
72,1194.11,3.05944,4.21454,3.09106,0.52007,0.41867,0.41292,0.17705,3.37649,4.06938,3.26863,0.0005942,0.0005942,0.0005942
73,1209.75,3.11971,4.26485,3.1747,0.49633,0.44533,0.43102,0.17979,3.45605,4.00299,3.39614,0.0005744,0.0005744,0.0005744
74,1225.26,3.06859,4.18427,3.15723,0.46006,0.4,0.38216,0.16154,3.60905,4.11269,3.51244,0.0005546,0.0005546,0.0005546
